id,name,schema_definition,created_at,is_active,is_tax_deductible,matching_description,doc_group,display_name_he,ui_category,semantic_signals,group_name
50,Fuel Receipt,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""total_amount"": {""required"": true, ""data_type"": ""currency_amount"", ""description"": ""Total paid amount""}, ""merchant_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Merchant / seller name""}, ""payment_method"": {""required"": false, ""data_type"": ""string"", ""description"": ""Payment method""}, ""transaction_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Transaction date""}, ""transaction_reference"": {""required"": false, ""data_type"": ""string"", ""description"": ""Receipt / order / transaction reference""}}}",2026-03-06 21:28:47.066399+00,true,false,Receipt from gas station or EV charging provider.,Receipts,קבלה לדלק,Bills & Receipts,"{""keywords_en"": [""fuel receipt"", ""pump"", ""charging session""], ""keywords_he"": [""דלק"", ""תחנה"", ""מספר רכב""], ""layout_hints"": [""pump/station details""], ""ocr_patterns"": [], ""vendor_examples"": [""Paz"", ""Sonol"", ""Delek"", ""Shell"", ""Chevron"", ""Tesla""]}",
51,Pharmacy Receipt,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""total_amount"": {""required"": true, ""data_type"": ""currency_amount"", ""description"": ""Total paid amount""}, ""merchant_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Merchant / seller name""}, ""payment_method"": {""required"": false, ""data_type"": ""string"", ""description"": ""Payment method""}, ""transaction_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Transaction date""}, ""transaction_reference"": {""required"": false, ""data_type"": ""string"", ""description"": ""Receipt / order / transaction reference""}}}",2026-03-06 21:28:47.294044+00,true,false,"Receipt for medicines or pharmacy products, sometimes with prescription linkage.",Receipts,קבלה של בית מרקחת,Bills & Receipts,"{""keywords_en"": [""pharmacy receipt"", ""prescription""], ""keywords_he"": [""בית מרקחת"", ""תרופה""], ""layout_hints"": [""medicine line items""], ""ocr_patterns"": [], ""vendor_examples"": [""Super-Pharm"", ""CVS"", ""Walgreens""]}",
52,Electronics Receipt,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""total_amount"": {""required"": true, ""data_type"": ""currency_amount"", ""description"": ""Total paid amount""}, ""merchant_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Merchant / seller name""}, ""payment_method"": {""required"": false, ""data_type"": ""string"", ""description"": ""Payment method""}, ""transaction_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Transaction date""}, ""transaction_reference"": {""required"": false, ""data_type"": ""string"", ""description"": ""Receipt / order / transaction reference""}}}",2026-03-06 21:28:47.525676+00,true,false,"Receipt for electronics purchase, often linked to warranty or serial number.",Receipts,קבלה אלקטרונית,Bills & Receipts,"{""keywords_en"": [""electronics receipt"", ""serial number""], ""keywords_he"": [""אלקטרוניקה"", ""מספר סידורי""], ""layout_hints"": [""receipt with product model""], ""ocr_patterns"": [], ""vendor_examples"": [""KSP"", ""Ivory"", ""Apple"", ""Best Buy"", ""Amazon""]}",
53,Clothing Receipt,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""total_amount"": {""required"": true, ""data_type"": ""currency_amount"", ""description"": ""Total paid amount""}, ""merchant_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Merchant / seller name""}, ""payment_method"": {""required"": false, ""data_type"": ""string"", ""description"": ""Payment method""}, ""transaction_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Transaction date""}, ""transaction_reference"": {""required"": false, ""data_type"": ""string"", ""description"": ""Receipt / order / transaction reference""}}}",2026-03-06 21:28:47.752386+00,true,false,"Receipt for apparel / fashion purchase, often used for returns or credits.",Receipts,קבלת בגדים,Bills & Receipts,"{""keywords_en"": [""clothing receipt"", ""return window""], ""keywords_he"": [""ביגוד"", ""החלפה""], ""layout_hints"": [""retail receipt""], ""ocr_patterns"": [], ""vendor_examples"": [""Fox"", ""Zara"", ""H&M"", ""Uniqlo""]}",
54,Service Receipt,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""total_amount"": {""required"": true, ""data_type"": ""currency_amount"", ""description"": ""Total paid amount""}, ""merchant_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Merchant / seller name""}, ""payment_method"": {""required"": false, ""data_type"": ""string"", ""description"": ""Payment method""}, ""transaction_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Transaction date""}, ""transaction_reference"": {""required"": false, ""data_type"": ""string"", ""description"": ""Receipt / order / transaction reference""}}}",2026-03-06 21:28:47.982935+00,true,false,"Receipt for paid service such as cleaning, consulting, lessons, or therapy.",Receipts,קבלת שירות,Bills & Receipts,"{""keywords_en"": [""service receipt"", ""service fee""], ""keywords_he"": [""קבלה על שירות""], ""layout_hints"": [""business receipt""], ""ocr_patterns"": [], ""vendor_examples"": [""PayPal"", ""Stripe""]}",
55,Repair Receipt,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""total_amount"": {""required"": true, ""data_type"": ""currency_amount"", ""description"": ""Total paid amount""}, ""merchant_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Merchant / seller name""}, ""payment_method"": {""required"": false, ""data_type"": ""string"", ""description"": ""Payment method""}, ""transaction_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Transaction date""}, ""transaction_reference"": {""required"": false, ""data_type"": ""string"", ""description"": ""Receipt / order / transaction reference""}}}",2026-03-06 21:28:48.209165+00,true,false,Receipt or invoice for repair/maintenance work.,Receipts,קבלה לתיקון,Bills & Receipts,"{""keywords_en"": [""repair receipt"", ""service center""], ""keywords_he"": [""תיקון"", ""מעבדה""], ""layout_hints"": [""parts + labor rows""], ""ocr_patterns"": [], ""vendor_examples"": [""Apple"", ""Samsung"", ""IKEA""]}",
56,Warranty Certificate,"{""extraction_schema"": {""amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Contract value / monthly amount""}, ""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""End / renewal date""}, ""party_one"": {""required"": false, ""data_type"": ""string"", ""description"": ""Primary party""}, ""party_two"": {""required"": false, ""data_type"": ""string"", ""description"": ""Counterparty""}, ""effective_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Effective date""}, ""contract_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Contract / agreement reference""}}}",2026-03-06 21:28:48.43761+00,true,false,"Warranty document showing coverage term, seller/manufacturer, and product details.",Receipts,תעודת אחריות,Bills & Receipts,"{""keywords_en"": [""warranty certificate"", ""warranty period""], ""keywords_he"": [""תעודת אחריות"", ""אחריות יצרן""], ""layout_hints"": [""product model + term""], ""ocr_patterns"": [], ""vendor_examples"": [""Samsung"", ""LG"", ""Apple"", ""Dyson"", ""KSP"", ""Amazon""]}",
57,Return / Refund Receipt,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""total_amount"": {""required"": true, ""data_type"": ""currency_amount"", ""description"": ""Total paid amount""}, ""merchant_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Merchant / seller name""}, ""payment_method"": {""required"": false, ""data_type"": ""string"", ""description"": ""Payment method""}, ""transaction_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Transaction date""}, ""transaction_reference"": {""required"": false, ""data_type"": ""string"", ""description"": ""Receipt / order / transaction reference""}}}",2026-03-06 21:28:48.665549+00,true,false,"Receipt documenting return, refund, or store credit issuance.",Receipts,קבלה להחזרה/החזר כספי,Bills & Receipts,"{""keywords_en"": [""refund receipt"", ""credit note""], ""keywords_he"": [""זיכוי"", ""החזר כספי""], ""layout_hints"": [""negative amount or refund lines""], ""ocr_patterns"": [], ""vendor_examples"": [""Amazon"", ""Apple"", ""Google"", ""Microsoft"", ""Adobe"", ""Dropbox"", ""Anthropic"", ""OpenAI"", ""Meta"", ""PayPal"", ""Uber"", ""Wolt"", ""eBay"", ""AliExpress"", ""Fox"", ""Zara"", ""Amazon""]}",
58,Gift Card,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""total_amount"": {""required"": true, ""data_type"": ""currency_amount"", ""description"": ""Total paid amount""}, ""merchant_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Merchant / seller name""}, ""payment_method"": {""required"": false, ""data_type"": ""string"", ""description"": ""Payment method""}, ""transaction_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Transaction date""}, ""transaction_reference"": {""required"": false, ""data_type"": ""string"", ""description"": ""Receipt / order / transaction reference""}}}",2026-03-06 21:28:48.897976+00,true,false,"Gift card with merchant, balance, code, and sometimes expiry.",Credits,כרטיס מתנה,Bills & Receipts,"{""keywords_en"": [""gift card"", ""balance"", ""redeem""], ""keywords_he"": [""כרטיס מתנה"", ""יתרה"", ""קוד""], ""layout_hints"": [""barcode / code""], ""ocr_patterns"": [], ""vendor_examples"": [""BUYME"", ""Amazon"", ""Apple"", ""Fox"", ""Zara""]}",
59,Store Credit Voucher,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""total_amount"": {""required"": true, ""data_type"": ""currency_amount"", ""description"": ""Total paid amount""}, ""merchant_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Merchant / seller name""}, ""payment_method"": {""required"": false, ""data_type"": ""string"", ""description"": ""Payment method""}, ""transaction_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Transaction date""}, ""transaction_reference"": {""required"": false, ""data_type"": ""string"", ""description"": ""Receipt / order / transaction reference""}}}",2026-03-06 21:28:49.126222+00,true,false,Store voucher or credit note issued instead of cash refund.,Credits,שובר אשראי לחנות,Bills & Receipts,"{""keywords_en"": [""store credit"", ""voucher"", ""redeem by""], ""keywords_he"": [""שובר זיכוי"", ""מימוש""], ""layout_hints"": [""voucher code + balance""], ""ocr_patterns"": [], ""vendor_examples"": [""Fox"", ""Zara"", ""IKEA"", ""Amazon""]}",
60,Airline Voucher,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""total_amount"": {""required"": true, ""data_type"": ""currency_amount"", ""description"": ""Total paid amount""}, ""merchant_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Merchant / seller name""}, ""payment_method"": {""required"": false, ""data_type"": ""string"", ""description"": ""Payment method""}, ""transaction_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Transaction date""}, ""transaction_reference"": {""required"": false, ""data_type"": ""string"", ""description"": ""Receipt / order / transaction reference""}}}",2026-03-06 21:28:49.351828+00,true,false,Airline credit / travel voucher issued after cancellation or compensation.,Credits,שובר טיסה,Trips & Tickets,"{""keywords_en"": [""airline voucher"", ""travel credit""], ""keywords_he"": [""שובר טיסה""], ""layout_hints"": [""voucher code""], ""ocr_patterns"": [], ""vendor_examples"": [""El Al"", ""Delta"", ""United Airlines"", ""American Airlines""]}",
61,Hotel Voucher,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""total_amount"": {""required"": true, ""data_type"": ""currency_amount"", ""description"": ""Total paid amount""}, ""merchant_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Merchant / seller name""}, ""payment_method"": {""required"": false, ""data_type"": ""string"", ""description"": ""Payment method""}, ""transaction_date"": {""required"": true, ""data_type"": ""date"", ""description"": ""Transaction date""}, ""transaction_reference"": {""required"": false, ""data_type"": ""string"", ""description"": ""Receipt / order / transaction reference""}}}",2026-03-06 21:28:49.576436+00,true,false,Hotel stay voucher or compensation credit usable before expiry.,Credits,שובר מלון,Trips & Tickets,"{""keywords_en"": [""hotel voucher"", ""stay credit""], ""keywords_he"": [""שובר מלון""], ""layout_hints"": [""voucher code""], ""ocr_patterns"": [], ""vendor_examples"": [""Dan Hotels"", ""Isrotel"", ""Hilton"", ""Marriott""]}",
62,Health Insurance Policy,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract end / renewal date""}, ""start_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract start date""}, ""insured_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insured person / entity""}, ""policy_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Policy number""}, ""provider_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insurance / service provider""}, ""premium_amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Premium / contract amount""}}}",2026-03-06 21:28:49.802857+00,true,false,Health insurance policy or coverage summary for private or employer plan.,Insurance,פוליסת ביטוח בריאות,Insurance & Contracts,"{""keywords_en"": [""health insurance policy"", ""coverage"", ""deductible""], ""keywords_he"": [""ביטוח בריאות"", ""מספר פוליסה"", ""כיסוי""], ""layout_hints"": [""policy summary""], ""ocr_patterns"": [], ""vendor_examples"": [""Harel"", ""Clal"", ""Migdal"", ""Phoenix"", ""Menora Mivtachim"", ""Ayalon"", ""Hachshara"", ""State Farm"", ""GEICO"", ""Progressive"", ""Allstate"", ""UnitedHealthcare"", ""Blue Cross Blue Shield"", ""Aetna"", ""Cigna""]}",
63,Supplementary Health Insurance,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract end / renewal date""}, ""start_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract start date""}, ""insured_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insured person / entity""}, ""policy_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Policy number""}, ""provider_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insurance / service provider""}, ""premium_amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Premium / contract amount""}}}",2026-03-06 21:28:50.03113+00,true,false,Supplementary / extended health coverage from insurer or health fund.,Insurance,ביטוח בריאות משלים,Insurance & Contracts,"{""keywords_en"": [""supplemental health"", ""extended coverage""], ""keywords_he"": [""שב\""ן"", ""ביטוח משלים""], ""layout_hints"": [""coverage summary""], ""ocr_patterns"": [], ""vendor_examples"": [""Clalit"", ""Maccabi"", ""Meuhedet"", ""Leumit"", ""Assuta"", ""Sheba"", ""Harel"", ""Clal"", ""Migdal"", ""Phoenix"", ""Menora Mivtachim"", ""Ayalon"", ""Hachshara""]}",
64,Life Insurance Policy,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract end / renewal date""}, ""start_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract start date""}, ""insured_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insured person / entity""}, ""policy_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Policy number""}, ""provider_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insurance / service provider""}, ""premium_amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Premium / contract amount""}}}",2026-03-06 21:28:50.256598+00,true,false,"Life insurance policy showing insured lives, beneficiaries, and coverage amount.",Insurance,פוליסת ביטוח חיים,Insurance & Contracts,"{""keywords_en"": [""life insurance"", ""beneficiary"", ""sum assured""], ""keywords_he"": [""ביטוח חיים"", ""מוטבים""], ""layout_hints"": [""policy schedule""], ""ocr_patterns"": [], ""vendor_examples"": [""Harel"", ""Clal"", ""Migdal"", ""Phoenix"", ""Menora Mivtachim"", ""Ayalon"", ""Hachshara"", ""State Farm"", ""GEICO"", ""Progressive"", ""Allstate"", ""UnitedHealthcare"", ""Blue Cross Blue Shield"", ""Aetna"", ""Cigna""]}",
65,Home Insurance Policy,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract end / renewal date""}, ""start_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract start date""}, ""insured_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insured person / entity""}, ""policy_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Policy number""}, ""provider_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insurance / service provider""}, ""premium_amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Premium / contract amount""}}}",2026-03-06 21:28:50.483815+00,true,false,Homeowners / renters / property insurance policy.,Insurance,פוליסת ביטוח דירה,Insurance & Contracts,"{""keywords_en"": [""home insurance"", ""property coverage"", ""renters""], ""keywords_he"": [""ביטוח דירה"", ""תכולה"", ""מבנה""], ""layout_hints"": [""property address section""], ""ocr_patterns"": [], ""vendor_examples"": [""Harel"", ""Clal"", ""Migdal"", ""Phoenix"", ""Menora Mivtachim"", ""Ayalon"", ""Hachshara"", ""State Farm"", ""GEICO"", ""Progressive"", ""Allstate"", ""UnitedHealthcare"", ""Blue Cross Blue Shield"", ""Aetna"", ""Cigna""]}",
66,Car Insurance Policy,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract end / renewal date""}, ""start_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract start date""}, ""insured_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insured person / entity""}, ""policy_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Policy number""}, ""provider_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insurance / service provider""}, ""premium_amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Premium / contract amount""}}}",2026-03-06 21:28:50.706403+00,true,false,"Vehicle insurance policy, compulsory or comprehensive/third-party.",Insurance,פוליסת ביטוח רכב,Insurance & Contracts,"{""keywords_en"": [""car insurance"", ""auto policy"", ""liability"", ""comprehensive""], ""keywords_he"": [""ביטוח רכב"", ""חובה"", ""מקיף"", ""צד ג""], ""layout_hints"": [""vehicle details + policy period""], ""ocr_patterns"": [], ""vendor_examples"": [""Harel"", ""Clal"", ""Migdal"", ""Phoenix"", ""Menora Mivtachim"", ""Ayalon"", ""Hachshara"", ""State Farm"", ""GEICO"", ""Progressive"", ""Allstate"", ""UnitedHealthcare"", ""Blue Cross Blue Shield"", ""Aetna"", ""Cigna""]}",
67,Travel Insurance Policy,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract end / renewal date""}, ""start_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract start date""}, ""insured_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insured person / entity""}, ""policy_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Policy number""}, ""provider_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insurance / service provider""}, ""premium_amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Premium / contract amount""}}}",2026-03-06 21:28:50.930445+00,true,false,"Travel insurance confirmation covering trip dates, travelers, and protections.",Insurance,פוליסת ביטוח נסיעות,Insurance & Contracts,"{""keywords_en"": [""travel insurance"", ""trip coverage""], ""keywords_he"": [""ביטוח נסיעות""], ""layout_hints"": [""traveler list + dates""], ""ocr_patterns"": [], ""vendor_examples"": [""Harel"", ""Clal"", ""Migdal"", ""Phoenix"", ""Menora Mivtachim"", ""Ayalon"", ""Hachshara"", ""State Farm"", ""GEICO"", ""Progressive"", ""Allstate"", ""UnitedHealthcare"", ""Blue Cross Blue Shield"", ""Aetna"", ""Cigna""]}",
68,Dental Insurance Policy,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract end / renewal date""}, ""start_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract start date""}, ""insured_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insured person / entity""}, ""policy_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Policy number""}, ""provider_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insurance / service provider""}, ""premium_amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Premium / contract amount""}}}",2026-03-06 21:28:51.161746+00,true,false,Dental coverage policy or member plan summary.,Insurance,פוליסת ביטוח שיניים,Insurance & Contracts,"{""keywords_en"": [""dental insurance"", ""orthodontic coverage""], ""keywords_he"": [""ביטוח שיניים""], ""layout_hints"": [""coverage summary""], ""ocr_patterns"": [], ""vendor_examples"": [""Harel"", ""Clal"", ""Migdal"", ""Phoenix"", ""Menora Mivtachim"", ""Ayalon"", ""Hachshara"", ""State Farm"", ""GEICO"", ""Progressive"", ""Allstate"", ""UnitedHealthcare"", ""Blue Cross Blue Shield"", ""Aetna"", ""Cigna""]}",
69,Disability Insurance Policy,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract end / renewal date""}, ""start_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract start date""}, ""insured_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insured person / entity""}, ""policy_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Policy number""}, ""provider_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insurance / service provider""}, ""premium_amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Premium / contract amount""}}}",2026-03-06 21:28:51.388047+00,true,false,Coverage for disability / loss of work capacity.,Insurance,פוליסת ביטוח נכות,Insurance & Contracts,"{""keywords_en"": [""disability insurance"", ""income protection""], ""keywords_he"": [""אובדן כושר עבודה"", ""נכות""], ""layout_hints"": [""benefit terms""], ""ocr_patterns"": [], ""vendor_examples"": [""Harel"", ""Clal"", ""Migdal"", ""Phoenix"", ""Menora Mivtachim"", ""Ayalon"", ""Hachshara"", ""State Farm"", ""GEICO"", ""Progressive"", ""Allstate"", ""UnitedHealthcare"", ""Blue Cross Blue Shield"", ""Aetna"", ""Cigna""]}",
70,Pet Insurance Policy,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract end / renewal date""}, ""start_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract start date""}, ""insured_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insured person / entity""}, ""policy_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Policy number""}, ""provider_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insurance / service provider""}, ""premium_amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Premium / contract amount""}}}",2026-03-06 21:28:51.62597+00,true,false,Insurance policy for veterinary treatment or pet liability.,Insurance,פוליסת ביטוח חיות מחמד,Insurance & Contracts,"{""keywords_en"": [""pet insurance""], ""keywords_he"": [""ביטוח חיות""], ""layout_hints"": [""pet details""], ""ocr_patterns"": [], ""vendor_examples"": [""Harel"", ""Trupanion"", ""Nationwide""]}",
71,Business Liability Insurance,"{""extraction_schema"": {""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract end / renewal date""}, ""start_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Coverage / contract start date""}, ""insured_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insured person / entity""}, ""policy_number"": {""required"": true, ""data_type"": ""string"", ""description"": ""Policy number""}, ""provider_name"": {""required"": true, ""data_type"": ""string"", ""description"": ""Insurance / service provider""}, ""premium_amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Premium / contract amount""}}}",2026-03-06 21:28:51.849207+00,true,false,Policy covering liability exposures for small business or clinic.,Insurance,ביטוח אחריות עסקית,Insurance & Contracts,"{""keywords_en"": [""business liability"", ""professional liability""], ""keywords_he"": [""ביטוח אחריות מקצועית""], ""layout_hints"": [""business details""], ""ocr_patterns"": [], ""vendor_examples"": [""Harel"", ""Clal"", ""Migdal"", ""Phoenix"", ""Menora Mivtachim"", ""Ayalon"", ""Hachshara"", ""State Farm"", ""GEICO"", ""Progressive"", ""Allstate"", ""UnitedHealthcare"", ""Blue Cross Blue Shield"", ""Aetna"", ""Cigna""]}",
72,Insurance Claim Form,"{""extraction_schema"": {""amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Contract value / monthly amount""}, ""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""End / renewal date""}, ""party_one"": {""required"": false, ""data_type"": ""string"", ""description"": ""Primary party""}, ""party_two"": {""required"": false, ""data_type"": ""string"", ""description"": ""Counterparty""}, ""effective_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Effective date""}, ""contract_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Contract / agreement reference""}}}",2026-03-06 21:28:52.075152+00,true,false,"Form used to file claim for medical, property, travel, or other insurance reimbursement.",Insurance,טופס תביעת ביטוח,Insurance & Contracts,"{""keywords_en"": [""claim form"", ""reimbursement claim""], ""keywords_he"": [""טופס תביעה"", ""החזר""], ""layout_hints"": [""fillable form sections""], ""ocr_patterns"": [], ""vendor_examples"": [""Harel"", ""Clal"", ""Migdal"", ""Phoenix"", ""Menora Mivtachim"", ""Ayalon"", ""Hachshara"", ""State Farm"", ""GEICO"", ""Progressive"", ""Allstate"", ""UnitedHealthcare"", ""Blue Cross Blue Shield"", ""Aetna"", ""Cigna""]}",
73,Insurance Coverage Summary,"{""extraction_schema"": {""amount"": {""required"": false, ""data_type"": ""currency_amount"", ""description"": ""Contract value / monthly amount""}, ""currency"": {""required"": false, ""data_type"": ""currency_code"", ""description"": ""Currency code""}, ""end_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""End / renewal date""}, ""party_one"": {""required"": false, ""data_type"": ""string"", ""description"": ""Primary party""}, ""party_two"": {""required"": false, ""data_type"": ""string"", ""description"": ""Counterparty""}, ""effective_date"": {""required"": false, ""data_type"": ""date"", ""description"": ""Effective date""}, ""contract_number"": {""required"": false, ""data_type"": ""string"", ""description"": ""Contract / agreement reference""}}}",2026-03-06 21:28:52.306602+00,true,false,"Summary document describing major coverages, exclusions, limits, and co-pays.",Insurance,סיכום כיסוי ביטוחי,Insurance & Contracts,"{""keywords_en"": [""coverage summary"", ""benefits summary""], ""keywords_he"": [""פירוט כיסויים""], ""layout_hints"": [""table of benefits""], ""ocr_patterns"": [], ""vendor_examples"": [""Harel"", ""Clal"", ""Migdal"", ""Phoenix"", ""Menora Mivtachim"", ""Ayalon"", ""Hachshara"", ""State Farm"", ""GEICO"", ""Progressive"", ""Allstate"", ""UnitedHealthcare"", ""Blue Cross Blue Shield"", ""Aetna"", ""Cigna""]}",
